আন্ডারগ্রাডুইয়েট ডিগ্রিতে ইউ আই ইউ কি কি প্রোগ্রাম অফার করে?,"আন্ডারগ্রাডুইয়েট ডিগ্রিতে ইউ আই ইউ ইইই, কম্পিউটার সাইন্স, বিবিএ, সিভিল, বিবিএ, এনভাইরনমেন্ট এন্ড ডেভেলপমেন্ট সাইন্স, ইকোনোমিক্স অফার করে"
আন্ডারগ্রাডুয়েটে কি কি প্রোগ্রাম অফার করে?,"আন্ডারগ্রাডুইয়েট ডিগ্রিতে ইউ আই ইউ ইইই, কম্পিউটার সাইন্স, বিবিএ, সিভিল, বিবিএ, এনভাইরনমেন্ট এন্ড ডেভেলপমেন্ট সাইন্স, ইকোনোমিক্স অফার করে"
আন্ডারগ্রাডুয়েটে কি কি প্রোগ্রাম আছে?,"আন্ডারগ্রাডুইয়েট ডিগ্রিতে ইউ আই ইউ ইইই, কম্পিউটার সাইন্স, বিবিএ, সিভিল, বিবিএ, এনভাইরনমেন্ট এন্ড ডেভেলপমেন্ট সাইন্স, ইকোনোমিক্স অফার করে"
গ্রাডুয়েটে কি কি প্রোগ্রাম অফার করে?,"গ্রাডুয়েট ডিগ্রিতে এম বি এ, ইকনোমিক্স, কম্পিউটার সাইন্স, ডেভেলপমেন্ট স্টাডিস অফার করে"
গ্রাডুয়েটে কি কি প্রোগ্রাম আছে?,"গ্রাডুয়েট ডিগ্রিতে এম বি এ, ইকনোমিক্স, কম্পিউটার সাইন্স, ডেভেলপমেন্ট স্টাডিস অফার করে"
গ্রাডুয়েট ডিগ্রিতে ইউ আই ইউ কি কি প্রোগ্রাম অফার করে?,"গ্রাডুয়েট ডিগ্রিতে এম বি এ, ইকনোমিক্স, কম্পিউটার সাইন্স, ডেভেলপমেন্ট স্টাডিস অফার করে"
আন্ডারগ্রাডুয়েট প্রোগ্রামের জন্য কতটি প্রোগ্রাম অফার করে?,আন্ডারগ্রাডুইয়েটে ৭ টি এবং গ্রাডুয়েটে ৫ টি প্রোগ্রাম অফার করে
কতটি প্রোগ্রাম অফার করে আন্ডারগ্রাডুইয়েট এবং গ্রাডুয়েট ডিগ্রিতে?,আন্ডারগ্রাডুইয়েটে ৭ টি এবং গ্রাডুয়েটে ৫ টি প্রোগ্রাম অফার করে
মিনিমাম কোয়ালিফিকেশন কি?,আন্ডারগ্রাডুইয়েটে প্রোগ্রাম এর জন্য জি পি এ ৫.০০ স্কেলে ২.০০ এর উপর এবং গ্রাডুইয়েটে প্রোগ্রাম এর জন্য সি জি পি এ ৪.০০ স্কেলে ২.০০ এর উপর লাগবে
ভর্তি পরীক্ষায় অংশগ্রহণের যোগ্যতা কি? ,আন্ডারগ্রাডুইয়েটে প্রোগ্রাম এর জন্য জি পি এ ৫.০০ স্কেলে ২.০০ এর উপর এবং গ্রাডুইয়েটে প্রোগ্রাম এর জন্য সি জি পি এ ৪.০০ স্কেলে ২.০০ এর উপর লাগবে
ভর্তি হতে গেলে মিনিমাম কোয়ালিফিকেশন কি কি থাকতে হবে?,আন্ডারগ্রাডুইয়েটে প্রোগ্রাম এর জন্য জি পি এ ৫.০০ স্কেলে ২.০০ এর উপর এবং গ্রাডুইয়েটে প্রোগ্রাম এর জন্য সি জি পি এ ৪.০০ স্কেলে ২.০০ এর উপর লাগবে
